consumer,resource_original,resource_collapsed,resource_group,reference,reference_lins,observations
Lithodes santolla,Cephalopods,Cephalopoda,Cephalopoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/66,Stomach content
Lithodes santolla,Debris allocthonous,Detritus,Non-living,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69,Stomach content
Lithodes santolla,Detritus,Detritus,Non-living,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69,Stomach content
Lithodes santolla,Fish,Fish,Pisces,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/67,Stomach content
Lithodes santolla,Forams,Foraminifera,Foraminifera,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/60,Stomach content
Lithodes santolla,Gastropods,Gastropoda,Gastropoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/65,Stomach content
Lithodes santolla,Hydrozoans,Hydrozoa,Hydrozoa,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/57,Stomach content
Lithodes santolla,Crustaceans,Lithodes santolla,Crustacea,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/63,Stomach content
Lithodes santolla,Polychaetes,Polychaeta,Polychaeta,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/61,Stomach content
Lithodes santolla,Sponges,Porifera,Porifera,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/59,Stomach content
Lithodes santolla,Pseudechinus magellanicus,Pseudechinus magellanicus,Echinodermata,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/62,Stomach content
Lithodes santolla,Sarcopeltis skottsbergii,Red Algae,Macroalgae,Andrade et al. (2022),,
Lithodes santolla,Sediment,Sediment,Non-living,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/68,Stomach content
Lithodes santolla (juvenile),Amphipoda,Amphipoda,Amphipoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556,Stomach content
Lithodes santolla (juvenile),Lithodes santolla,Benthic Decapoda,Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556,
Lithodes santolla (juvenile),Bivalves,Bivalvia,Bivalvia,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/557,Stomach content
Lithodes santolla (juvenile),Macrocystis pyrifera,Brown Algae,Macroalgae,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/558,Stomach content
Lithodes santolla (juvenile),Forams,Foraminifera,Foraminifera,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Ulva sp.,Green Algae,Macroalgae,Pardo et al.(2021),,Stomach content
Lithodes santolla (juvenile),Hydrozoans,Hydrozoa,Hydrozoa,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/560,Stomach content
Lithodes santolla (juvenile),Nacella spp.,Nacella deaurata,Gatropoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Polychaetes,Polychaeta,Polychaeta,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Polyplacophora,Polyplacophora,Polyplacophora,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Sponges,Porifera,Porifera,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Pseudechinus magellanicus,Pseudechinus magellanicus,Echinodermata,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561,Stomach content
Lithodes santolla (juvenile),Sediment,Sediment,Non-living,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/559,Stomach content
Lontra felina,Campylonotus vagans,Benthic Decapoda,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Cancer edwardsii,Benthic Decapoda,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Lithodes santolla,Benthic Decapoda,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Munida gregaria,Benthic Decapoda,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Taliepus dentatus,Benthic Decapoda,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Cottoperca gobio,Cottoperca gobio,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Harpagifer bispinis,Harpagifer bispinis,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Patagonotothen spp.,Patagonotothen sp.,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Feaces
Lontra felina,Prolatilus jugularis,Prolatilus jugularis,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,Stomach content
Loxechinus albus,Lessonia flavicans,Brown Algae,Macroalgae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Loxechinus albus,Macrocystis pyrifera,Brown Algae,Macroalgae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Feaces
Loxechinus albus,Harpagifer bispinis,Harpagifer bispinis,Pisces,Andrade unpub.,,Stomach content
Loxechinus albus,Callophyllis variegata,Red Algae,Macroalgae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Loxechinus albus,Rhodymenia falklandica,Red Algae,Macroalgae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Loxechinus albus,Sarcopeltis skottsbergii,Red Algae,Macroalgae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf,Stomach content
Macruronus magellanicus,Sprattus fuegensis,Sprattus fuegensis,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html,In situ observation (laboratory)
Macruronus magellanicus ,Munida gregaria,Benthic Decapoda,Decapoda,Acevedo (2013),https://aquadocs.org/handle/1834/6952,
Macruronus magellanicus ,Themisto gaudichaudii,Themisto gaudichaudii,Amphipoda,Padovani et al. (2012),https://doi.org/10.1016/j.seares.2011.10.007,
Margarella violacea,Macrocystis pyrifera,Brown Algae,Macroalgae,C. Andrade unpub.,,Stomach content
Martialia hyadesii,Euphausia vallentini,Euphausia vallentini,Zooplankton,Hughes (2010),https://figshare.utas.edu.au/articles/thesis/Determining_the_unknown_in_Southern_Ocean_squid_distribution_and_diet_of_Histeoteuthis_eltaninae_and_Martialia_hyadesi/23230271/1,
Maurolicus australis (larvae),Bivalvia larva,Bivalvia (larvae),Bivalvia,Landaeta et al. (2011),,
Maurolicus australis (larvae),Calanoid copepodite,Copepoda,Copepoda,Landaeta et al. (2011),,
Maurolicus australis (larvae),Copepod egg,Copepoda (egg),Copepoda,Landaeta et al. (2011),,
Maurolicus australis (larvae),Copepod nauplius,Copepoda (nauplius),Copepoda,Landaeta et al. (2011),,
Megaptera novaeangliae,Themisto gaudichaudii ,Amphipoda,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,SIA (skin)
Megaptera novaeangliae,Munida gregaria,Benthic Decapoda,Decapoda,Haro D. (2013),https://repositorio.anid.cl/entities/tesis/406746d0-8cbf-4a5f-a5f8-6812504b84a2,In situ observation
Megaptera novaeangliae,Euphausia lucens,Pelagic Crustacea,Crustacea,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,SIA (skin)
Megaptera novaeangliae,Euphausia vallentini,Pelagic Crustacea,Crustacea,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,SIA (skin)
Megaptera novaeangliae,Sprattus fuegensis,Sprattus fuegensis,Pisces,Haro D. (2013),https://repositorio.anid.cl/entities/tesis/406746d0-8cbf-4a5f-a5f8-6812504b84a2,SIA (skin)
Merluccius australis,Sprattus fuegensis,Sprattus fuegensis,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html,SIA (skin)
Merluccius australis,Themisto gaudichaudii,Themisto gaudichaudii,Amphipoda,Padovani et al. (2012),https://doi.org/10.1016/j.seares.2011.10.007,
Merluccius sp.,Munida gregaria,Benthic Decapoda,Decapoda,,https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf,
Merluccius sp.,Bryozoans,Bryozoa,Bryozoa,,https://www.sciencedirect.com/science/article/abs/pii/S2352485518304250,
Merluccius sp.,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,,https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf,
Merluccius sp.,Macruronus magellanicus,Macruronus magellanicus,Pisces,,https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf,
Merluccius sp.,Myctophidae,Myctophidae,Pisces,,https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf,
Merluccius sp.,Pseudechinus magellanicus,Pseudechinus magellanicus,Echinodermata,,https://www.sciencedirect.com/science/article/abs/pii/S2352485518304250,
Munida gregaria,Detritus,Detritus,Non-living,Andrade unpub.,,
Munida gregaria,Ulva sp.,Green Algae,Macroalgae,Andrade unpub.,,Stomach content
Munida gregaria,Serolis sp.,Isopoda,Isopoda,Andrade unpub.,,In situ observation 
Munida gregaria,Phytodetritus,Phytodetritus,Non-living,Andrade unpub.,,
Munida gregaria,Sponges,Porifera,Porifera,Andrade unpub.,,
Mustelus mento,Odontesthes regia,Odontesthes sp.,Pisces,Vargas et al. (1999),https://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77441999000300034,
Mustelus mento,Pagurus sp.,Pagurus sp.,Decapoda,Silva-Garay et al. (2018),https://link.springer.com/article/10.1007/s10641-018-0797-0,
Myctophidae,Copepods,Copepoda,Copepoda,,https://link.springer.com/article/10.1007/BF00349518,
Mytilus chilensis,Phytoplankton,Phytoplankton,Phytoplankton,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes,Stomach content
Mytilus chilensis,Zooplankton,Zooplankton,Zooplankton,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes,Stomach content
Nacella deaurata,Amphipoda indet,Amphipoda,Amphipoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Achnanthes sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Amphora sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Biddulphia sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Cocconeis sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Cylindrotheca sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Cymbella sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Diploneis sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Gomphonema sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Grammatophora sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Gyrosigma sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Licmophora sp,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Nitzschia sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Pinnularia sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Plagiotropis sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Surirella sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Bivalves,Bivalvia,Bivalvia,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,
Nacella deaurata,Lasaea sp.,Bivalvia,BIvalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Adenocystis utricularis,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Brown algae,Brown Algae,Macroalgae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Caepidium antarcticum,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ectocarpus siliculosus,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Halopteris funnicularis,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Scytosiphon lomentaria,Brown Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Elminius kingii,Cirripedia,Cirripedia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Chroococcus sp.,Cyanobacteria,Cyanobacteria,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content
Nacella deaurata,Oscillatoria sp.,Cyanobacteria,Cyanobacteria,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Arachnida indet,Detritus,Non-living,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Miscellaneus,Detritus,Non-living,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Elphidium macellum,Foraminifera,Foraminifera,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Forams,Foraminifera,Foraminifera,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Forams,Foraminifera,Foraminifera,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Eatoniella sp.,Gastropoda,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Laevilitorina caliginosa,Gastropoda,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Green algae,Green Algae,Macroalgae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Rhizoclonium sp.,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Spongomorpha pacifica,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ulothrix sp.,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ulva clathrata,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ulva lactuca,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ulva prolifera,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ulva sp.,Green Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Halirytus magellanicus,Halirytus magellanicus,Insecta,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Margarella violacea,Margarella violacea,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Mytilus platensis,Mytilus sp.,Bivalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ostracods,Ostracoda,Ostracoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Coscinodiscus sp.,Planktonic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Fragilaria sp.,Planktonic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Melosira sp.,Planktonic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Navicula sp.,Planktonic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Rhabdonema sp.,Planktonic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Stephanopyxis sp.,Planktonic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Acrochaetium sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ballia callitricha,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Bostrychia sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Ceramium sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Grateloupia sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Iridaea chordata,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Nothogenia fastigiata,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Plocamium sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Polysiphonia sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Pterosiphonia sp.,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella deaurata,Red algae,Red Algae,Macroalgae,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content
Nacella deaurata,Sarcothalia crispata,Red Algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Achnanthes sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Amphora sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Biddulphia sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Cocconeis sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Cylindrotheca sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Cymbella sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Diploneis sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Gomphonema sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Grammatophora sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Gyrosigma sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Licmophora sp,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Nitzschia sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Pinnularia sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Plagiotropis sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,Surirella sp.,Benthic Diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,Gut content (seasonal sampling)
Nacella magellanica,,Bivalvia,Bivalvia,Andrade C & Brey T (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en,Gut content (seasonal sampling)
