consumer,resource_original,resource_collapsed,resource_group,reference,reference_link
Lithodes santolla,Debris allocthonous,Detritus,Non-living,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69
Lithodes santolla,Detritus,Detritus,Non-living,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69
Lithodes santolla,Forams,Foraminifera,Foraminifera,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/60
Lithodes santolla,Gastropods,Gastropoda,Gastropoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/65
Lithodes santolla,Hydrozoans,Hydrozoa,Hydrozoa,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/57
Lithodes santolla,Crustaceans,Lithodes santolla,Crustacea,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/63
Lithodes santolla,Polychaetes,Polychaeta,Polychaeta,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/61
Lithodes santolla,Sponges,Porifera,Porifera,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/59
Lithodes santolla,Pseudechinus magellanicus,Pseudechinus magellanicus,Echinodermata,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/62
Lithodes santolla,Sarcopeltis skottsbergii,Red algae,Macroalgae,Andrade et al. (2022),
Lithodes santolla,Sediment,Sediment,Non-living,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/68
Lithodes santolla (juvenile),Amphipoda,Amphipoda,Amphipoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556
Lithodes santolla (juvenile),Lithodes santolla,Benthic decapoda,Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556
Lithodes santolla (juvenile),Bivalves,Bivalvia,Bivalvia,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/557
Lithodes santolla (juvenile),Macrocystis pyrifera,Brown algae,Macroalgae,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/558
Lithodes santolla (juvenile),Forams,Foraminifera,Foraminifera,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
Lithodes santolla (juvenile),Ulva sp.,Green algae,Macroalgae,Pardo et al.(2021),
Lithodes santolla (juvenile),Hydrozoans,Hydrozoa,Hydrozoa,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/560
Lithodes santolla (juvenile),Nacella spp.,Nacella deaurata,Gatropoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
Lithodes santolla (juvenile),Polychaetes,Polychaeta,Polychaeta,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
Lithodes santolla (juvenile),Polyplacophora,Polyplacophora,Polyplacophora,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
Lithodes santolla (juvenile),Sponges,Porifera,Porifera,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
Lithodes santolla (juvenile),Pseudechinus magellanicus,Pseudechinus magellanicus,Echinodermata,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
Lithodes santolla (juvenile),Sediment,Sediment,Non-living,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/559
Lontra felina,Campylonotus vagans,Benthic decapoda,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
Lontra felina,Cancer edwardsii,Benthic decapoda,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
Lontra felina,Lithodes santolla,Benthic decapoda,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
Lontra felina,Munida gregaria,Benthic decapoda,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
Lontra felina,Taliepus dentatus,Benthic decapoda,Decapoda,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
Lontra felina,Cottoperca gobio,Cottoperca gobio,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
Lontra felina,Harpagifer bispinis,Harpagifer bispinis,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
Lontra felina,Patagonotothen spp.,Patagonotothen sp.,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
Lontra felina,Prolatilus jugularis,Prolatilus jugularis,Pisces,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
Loxechinus albus,Lessonia flavicans,Brown algae,Macroalgae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf
Loxechinus albus,Macrocystis pyrifera,Brown algae,Macroalgae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf
Loxechinus albus,Harpagifer bispinis,Harpagifer bispinis,Pisces,Andrade (pers. comm.),
Loxechinus albus,Callophyllis variegata,Red algae,Macroalgae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf
Loxechinus albus,Rhodymenia falklandica,Red algae,Macroalgae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf
Loxechinus albus,Sarcopeltis skottsbergii,Red algae,Macroalgae,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf
Macruronus magellanicus,Sprattus fuegensis,Sprattus fuegensis,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html
Macruronus magellanicus ,Munida gregaria,Benthic decapoda,Decapoda,Acevedo (2013),https://aquadocs.org/handle/1834/6952
Margarella violacea,Macrocystis pyrifera,Brown algae,Macroalgae,C. Andrade (pers. comm.),
Martialia hyadesii,Euphausia vallentini,Euphausia vallentini,Zooplankton,Hughes (2010),https://figshare.utas.edu.au/articles/thesis/Determining_the_unknown_in_Southern_Ocean_squid_distribution_and_diet_of_Histeoteuthis_eltaninae_and_Martialia_hyadesi/23230271/1
Maurolicus australis (larvae),Bivalvia larva,Bivalvia (larvae),Bivalvia,Landaeta et al. (2011),
Maurolicus australis (larvae),Calanoid (copepodite),Calanoid (copepodite),Copepoda,Landaeta et al. (2011),
Maurolicus australis (larvae),Copepod egg,Copepoda (egg),Copepoda,Landaeta et al. (2011),
Maurolicus australis (larvae),Copepod nauplius,Copepoda (nauplius),Copepoda,Landaeta et al. (2011),
Megaptera novaeangliae,Themisto gaudichaudii ,Amphipoda,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Megaptera novaeangliae,Munida gregaria,Benthic decapoda,Decapoda,Haro D. (2013),https://repositorio.anid.cl/entities/tesis/406746d0-8cbf-4a5f-a5f8-6812504b84a2
Megaptera novaeangliae,Euphausia lucens,Euphausia lucens,Zooplankton,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Megaptera novaeangliae,Euphausia vallentini,Euphausia vallentini,Zooplankton,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
Megaptera novaeangliae,Sprattus fuegensis,Sprattus fuegensis,Pisces,Haro D. (2013),https://repositorio.anid.cl/entities/tesis/406746d0-8cbf-4a5f-a5f8-6812504b84a2
Merluccius australis,Sprattus fuegensis,Sprattus fuegensis,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html
Merluccius sp.,Munida gregaria,Benthic decapoda,Decapoda,,https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
Merluccius sp.,Bryozoans,Bryozoa,Bryozoa,,https://www.sciencedirect.com/science/article/abs/pii/S2352485518304250
Merluccius sp.,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,,https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
Merluccius sp.,Macruronus magellanicus,Macruronus magellanicus,Pisces,,https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
Merluccius sp.,Myctophidae,Myctophidae,Pisces,,https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
Merluccius sp.,Pseudechinus magellanicus,Pseudechinus magellanicus,Echinodermata,,https://www.sciencedirect.com/science/article/abs/pii/S2352485518304250
Munida gregaria,Detritus,Detritus,Non-living,Andrade (pers. comm.),
Munida gregaria,Ulva sp.,Green algae,Macroalgae,Andrade (pers. comm.),
Munida gregaria,Serolis sp.,Isopoda,Isopoda,Andrade (pers. comm.),
Munida gregaria,Phytodetritus,Phytodetritus,Non-living,Andrade (pers. comm.),
Munida gregaria,Sponges,Porifera,Porifera,Andrade (pers. comm.),
Mustelus mento,Odontesthes regia,Odontesthes sp.,Pisces,Vargas et al. (1999),https://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77441999000300034
Mustelus mento,Pagurus sp.,Pagurus sp.,Decapoda,Silva-Garay et al. (2018),https://link.springer.com/article/10.1007/s10641-018-0797-0
Myctophidae,Copepods,Copepoda,Copepoda,,https://link.springer.com/article/10.1007/BF00349518
Mytilus sp.,Phytoplankton,Phytoplankton,Phytoplankton,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes
Mytilus sp.,Zooplankton,Zooplankton,Zooplankton,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes
Myxine australis,Detritus,Detritus,Non-living,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Myxine
Nacella deaurata,Amphipoda indet,Amphipoda,Amphipoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Achnanthes sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Amphora sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Biddulphia sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Cocconeis sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Cylindrotheca sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Cymbella sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Diploneis sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Gomphonema sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Grammatophora sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Gyrosigma sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Licmophora sp,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Nitzschia sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Pinnularia sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Plagiotropis sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Surirella sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Bivalves,Bivalvia,Bivalvia,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella deaurata,Lasaea sp.,Bivalvia,Bivalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Adenocystis utricularis,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Brown algae,Brown algae,Macroalgae,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella deaurata,Caepidium antarcticum,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Ectocarpus siliculosus,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Halopteris funnicularis,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Scytosiphon lomentaria,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Halirytus magellanicus,Chironomidae,Miscellaneous,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Elminius kingii,Cirripedia,Cirripedia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Chroococcus sp.,Cyanobacteria,Cyanobacteria,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Oscillatoria sp.,Cyanobacteria,Cyanobacteria,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Arachnida indet,Detritus,Non-living,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Miscellaneous,Detritus,Non-living,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella deaurata,Elphidium macellum,Foraminifera,Foraminifera,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella deaurata,Forams,Foraminifera,Foraminifera,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella deaurata,Forams,Foraminifera,Foraminifera,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Eatoniella sp.,Gastropoda,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Laevilitorina caliginosa,Gastropoda,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Green algae,Green algae,Macroalgae,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella deaurata,Rhizoclonium sp.,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Spongomorpha pacifica,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Ulothrix sp.,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Ulva clathrata,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Ulva lactuca,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Ulva prolifera,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Ulva sp.,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Margarella violacea,Margarella violacea,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Mytilus platensis,Mytilus sp.,Bivalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Ostracods,Ostracoda,Ostracoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Coscinodiscus sp.,Plankton diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Fragilaria sp.,Plankton diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Melosira sp.,Plankton diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Navicula sp.,Plankton diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Rhabdonema sp.,Plankton diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Stephanopyxis sp.,Plankton diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Acrochaetium sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Ballia callitricha,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Bostrychia sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Ceramium sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Grateloupia sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Iridaea chordata,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Nothogenia fastigiata,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Plocamium sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Polysiphonia sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Pterosiphonia sp.,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella deaurata,Red algae,Red algae,Macroalgae,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella deaurata,Sarcothalia crispata,Red algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Achnanthes sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Amphora sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Biddulphia sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Cocconeis sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Cylindrotheca sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Cymbella sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Diploneis sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Gomphonema sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Grammatophora sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Gyrosigma sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Licmophora sp,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Nitzschia sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Pinnularia sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Plagiotropis sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Surirella sp.,Benthic diatom,Phytoplankton,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Bivalvia,Bivalvia,Bivalvia,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella magellanica,Lasaea sp.,Bivalvia,Bivalvia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Adenocystis utricularis,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Caepidium antarcticum,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Ectocarpus siliculosus,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Halopteris funnicularis,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Macrocystis pyrifera,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Scytosiphon lomentaria,Brown algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Halirytus magellanicus,Chironomidae,Miscellaneous,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Elminius kingii,Cirripedia,Cirripedia,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Oscillatoria sp.,Cyanobacteria,Cyanobacteria,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Arachnida indet,Detritus,Non-living,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Miscellaneous,Detritus,Non-living,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella magellanica,Forams,Foraminifera,Foraminifera,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella magellanica,Forams,Foraminifera,Foraminifera,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Laevilitorina caliginosa,Gastropoda,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Onchidella marginata,Gastropoda,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Green algae,Green algae,Macroalgae,Andrade C & Brey T (2014) ,https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
Nacella magellanica,Rhizoclonium sp.,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Spongomorpha pacifica,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
Nacella magellanica,Ulothrix sp.,Green algae,Macroalgae,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
