ID,Prey,Predator,Reference,Reference_link
201,Pseudechinus magellanicus,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
202,Sediment,Lithodes santolla (juvenile),Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/559
203,Benthic decapoda,Lontra felina,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
204,Cottoperca gobio,Lontra felina,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
205,Harpagifer bispinis,Lontra felina,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
206,Patagonotothen sp.,Lontra felina,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
207,Prolatilus jugularis,Lontra felina,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
208,Brown algae,Loxechinus albus,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf
209,Harpagifer bispinis,Loxechinus albus,Andrade (pers. comm.),
210,Red algae,Loxechinus albus,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf
211,Sprattus fuegensis,Macruronus magellanicus,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html
212,Benthic decapoda,Macruronus magellanicus,Acevedo (2013),https://aquadocs.org/handle/1834/6952
213,Brown algae,Margarella violacea,C. Andrade (pers. comm.),
214,Euphausia vallentini,Martialia hyadesii,Hughes (2010),https://figshare.utas.edu.au/articles/thesis/Determining_the_unknown_in_Southern_Ocean_squid_distribution_and_diet_of_Histeoteuthis_eltaninae_and_Martialia_hyadesi/23230271/1
215,Bivalvia (larvae),Maurolicus australis (larvae),Landaeta et al. (2011),https://academic.oup.com/plankt/article/33/12/1813/1542048?login=false
216,Calanoid (copepodite),Maurolicus australis (larvae),Landaeta et al. (2011),https://academic.oup.com/plankt/article/33/12/1813/1542048?login=false
217,Copepoda (egg),Maurolicus australis (larvae),Landaeta et al. (2011),https://academic.oup.com/plankt/article/33/12/1813/1542048?login=false
218,Copepoda (nauplius),Maurolicus australis (larvae),Landaeta et al. (2011),https://academic.oup.com/plankt/article/33/12/1813/1542048?login=false
219,Amphipoda,Megaptera novaeangliae,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
220,Benthic decapoda,Megaptera novaeangliae,Haro et al. (2025),https://www.sciencedirect.com/science/article/abs/pii/S0304380024003326
221,Euphausia lucens,Megaptera novaeangliae,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
222,Euphausia vallentini,Megaptera novaeangliae,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
223,Sprattus fuegensis,Megaptera novaeangliae,Haro et al. (2025),https://www.sciencedirect.com/science/article/abs/pii/S0304380024003326
224,Sprattus fuegensis,Merluccius australis,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html
225,Benthic decapoda,Merluccius sp.,Cubillos et al. (2003),https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
226,Bryozoa,Merluccius sp.,Alonso et al. (2019),https://www.sciencedirect.com/science/article/abs/pii/S2352485518304250
227,Doryteuthis gahi,Merluccius sp.,Cubillos et al. (2003),https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
228,Macruronus magellanicus,Merluccius sp.,Cubillos et al. (2003),https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
229,Myctophidae,Merluccius sp.,Cubillos et al. (2003),https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
230,Pseudechinus magellanicus,Merluccius sp.,Alonso et al. (2019),https://www.sciencedirect.com/science/article/abs/pii/S2352485518304250
231,Detritus,Grimothea gregaria,Andrade (pers. comm.),
232,Green algae,Grimothea gregaria,Andrade (pers. comm.),
233,Isopoda,Grimothea gregaria,Andrade (pers. comm.),
234,Phytodetritus,Grimothea gregaria,Andrade (pers. comm.),
235,Porifera,Grimothea gregaria,Andrade (pers. comm.),
236,Odontesthes sp.,Mustelus mento,Vargas et al. (1999),https://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77441999000300034
237,Pagurus sp.,Mustelus mento,Silva-Garay et al. (2018),https://link.springer.com/article/10.1007/s10641-018-0797-0
238,Copepoda,Myctophidae,Hopkins & Gartner (1992),https://link.springer.com/article/10.1007/BF00349518
239,Phytoplankton,Mytilus sp.,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes
240,Zooplankton,Mytilus sp.,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes
241,Detritus,Myxine australis,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Myxine
242,Amphipoda,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
243,Benthic diatom,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
244,Bivalvia,Nacella deaurata,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
245,Brown algae,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
246,Chironomidae,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
247,Cirripedia,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
248,Cyanobacteria,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
249,Detritus,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
250,Foraminifera,Nacella deaurata,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
251,Gastropoda,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
252,Green algae,Nacella deaurata,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
253,Margarella violacea,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
254,Mytilus sp.,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
255,Ostracoda,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
256,Plankton diatom,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
257,Red algae,Nacella deaurata,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
258,Benthic diatom,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
259,Bivalvia,Nacella magellanica,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
260,Brown algae,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
261,Chironomidae,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
262,Cirripedia,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
263,Cyanobacteria,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
264,Detritus,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
265,Foraminifera,Nacella magellanica,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
266,Gastropoda,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
267,Green algae,Nacella magellanica,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
268,Margarella violacea,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
269,Mytilus sp.,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
270,Notochthamalus scabrosus,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
271,Ostracoda,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
272,Phytoplankton,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
273,Plankton diatom,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
274,Red algae,Nacella magellanica,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
275,Brown algae,Nacella mytilina,Andrade (pers. comm.),
276,Phytodetritus,Nacella mytilina,Andrade (pers. comm.),
277,Phytoplankton,Nacella mytilina,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes
278,Phytoplankton,Notochthamalus scabrosus,Andrade (pers. comm.),
279,Amphipoda,Odontesthes sp.,Antezana (pers. comm),
280,Bivalvia,Odontesthes sp.,Gordillo et al. (2020),https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/abs/naticid-drilling-predation-from-tidal-flats-in-northern-patagonia-sw-atlantic/3EB5A0897064DF2E2381CE9844F5F348
281,Benthic decapoda,Oncorhynchus sp.,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6024
282,Phytodetritus,Ophiactis asperula,Rivera (pers. Comm),
283,Benthic decapoda,Ophiuroglypha lymani,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/973
284,Bivalvia,Ophiuroglypha lymani,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/978
285,Brown algae,Ophiuroglypha lymani,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/977
286,Bryozoa,Ophiuroglypha lymani,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/979
287,Detritus,Ophiuroglypha lymani,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/974
288,Phytodetritus,Ophiuroglypha lymani,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/972
289,Sediment,Ophiuroglypha lymani,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/976
290,Dissostichus eleginoides,Orcinus orca,Capella et al. (2014),https://link.springer.com/article/10.1007/s00300-014-1535-5
291,Otaria flavescens,Orcinus orca,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1444
292,Tachyeres pteneres,Orcinus orca,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1445
293,Detritus,Ostracoda,Cañete (pers. comm.),
294,Phytoplankton,Ostracoda,Cañete (pers. comm.),
295,Zooplankton,Ostracoda,Cañete (pers. comm.),
296,Benthic decapoda,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12379
297,Callorhinchus callorynchus,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12393
298,Cilus gilberti,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12391
299,Eleginops maclovinus,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12383
300,Genypterus blacodes,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12392
301,Merluccius australis,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12390
302,Mustelus mento,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12384
303,Odontesthes sp.,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12387
304,Oncorhynchus sp.,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12381
305,Paralabrax humeralis,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12386
306,Pinguipes chilensis,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12394
307,Salmo salar,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12382
308,Sprattus fuegensis,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12388
309,Thyrsites atun,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12385
310,Trachurus murphyi,Otaria flavescens,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12389
311,Detritus,Pagurus sp.,C. Andrade (pers. comm.),
312,Plankton diatom,Paracalanus indicus,Aguilera et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/17451000.2010.499437
313,Detritus,Paraeuthria fuscata,Andrade C (2009),
314,Amphipoda,Paralomis granulosa,Andrade (pers. comm.),
315,Brown algae,Paralomis granulosa,Andrade (pers. comm.),
316,Bryozoa,Paralomis granulosa,Andrade (pers. comm.),
317,Detritus,Paralomis granulosa,Andrade (pers. comm.),
318,Enteroctopus megalocyathus,Paralomis granulosa,Andrade (pers. comm.),
319,Foraminifera,Paralomis granulosa,Andrade (pers. comm.),
320,Gastropoda,Paralomis granulosa,Cañete et al. (2021),https://www.scielo.br/j/nau/a/DwGRczmMrxWjByhxjy8GHhD/
321,Hydrozoa,Paralomis granulosa,Andrade (pers. comm.),
322,Mytilus sp.,Paralomis granulosa,Andrade (pers. comm.),
323,Polychaeta,Paralomis granulosa,Andrade (pers. comm.),
324,Porifera,Paralomis granulosa,Andrade (pers. comm.),
325,Pseudechinus magellanicus,Paralomis granulosa,Andrade (pers. comm.),
326,Red algae,Paralomis granulosa,Andrade (pers. comm.),
327,Benthic decapoda,Patagonotothen cornucola,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6022
328,Exosphaeroma gigas,Patagonotothen cornucola,Hüne & Vega (2016),
329,Amphipoda,Patagonotothen sima,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
330,Benthic decapoda,Patagonotothen sima,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
331,Copepoda,Patagonotothen sima,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
332,Polychaeta,Patagonotothen sima,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
333,Benthic decapoda,Patagonotothen sp.,Andrade (pers. comm.),
334,Brown algae,Patagonotothen sp.,Andrade (pers. comm.),
335,Exosphaeroma gigas,Patagonotothen sp.,Andrade (pers. comm.),
336,Polychaeta,Patagonotothen sp.,Andrade (pers. comm.),
337,Amphipoda,Patagonotothen tessellata,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6020
338,Benthic decapoda,Patagonotothen tessellata,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6021
339,Chironomidae,Patagonotothen tessellata,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-13
340,Green algae,Patagonotothen tessellata,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-11
341,Ostracoda,Patagonotothen tessellata,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-10
342,Patagonotothen sp.,Patagonotothen tessellata,Hüne et al. (2023),https://link.springer.com/10.1007/s10641-023-01428-8
343,Polychaeta,Patagonotothen tessellata,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-8
344,Red algae,Patagonotothen tessellata,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-12
345,Bivalvia (larvae),Patagonotothen tessellata (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
346,Calanoid (copepodite),Patagonotothen tessellata (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
347,Copepoda,Patagonotothen tessellata (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
348,Copepoda (egg),Patagonotothen tessellata (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
349,Copepoda (nauplius),Patagonotothen tessellata (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
350,Paracalanus indicus,Patagonotothen tessellata (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
351,Pluteus (larva),Patagonotothen tessellata (larvae),Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
352,Nacella deaurata,Peltarion spinulosum,Pardo et al. (2022),https://link.springer.com/article/10.1007/s10530-022-02806-6
353,Phytoplankton,Perumytilus purpuratus,Catalán et al. (2021),https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.13455
354,Zooplankton,Perumytilus purpuratus,Catalán et al. (2021),https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.13455
355,Amphipoda,Pinguipes chilensis,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
356,Aulacomya atra,Pinguipes chilensis,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
357,Doryteuthis gahi,Pinguipes chilensis,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
358,Odontesthes sp.,Pinguipes chilensis,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
359,Pagurus sp.,Pinguipes chilensis,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
360,Polychaeta,Pinguipes chilensis,González & Oyarzún (2003),https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0426.2003.00444.x?casa_token=AbNjCPTg-P4AAAAA%3Az5Ua1HLrjp6Mfb0bulTPDtXlWtmLhPMnmq2lvzYFAPRzFWIdJhpKCdBHjuCJWJBQMdHupNJmU_fDt6A
361,Brown algae,Platynereis australis,Montiel (pers. comm.),
362,Detritus,Platynereis australis,Montiel (pers. comm.),
363,Benthic diatom,Plaxiphora aurata,Andrade (pers. comm.),
364,Phytodetritus,Plaxiphora aurata,C. Andrade (pers. comm.),
365,Zooplankton,Pluteus (larva),Cañete (pers. comm.),
366,Benthic diatom,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
367,Brown algae,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
368,Copepoda,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
369,Detritus,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
370,Green algae,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
371,Ostracoda,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
372,Red algae,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
373,Zooplankton,Polychaeta,Fauchald (1979),https://repository.si.edu/bitstream/handle/10088/3422/OMBARFauchald1979.pdf
374,Bryozoa,Polyplacophora,Schwabe (2009),https://www.researchgate.net/publication/261699638_Polyplacophora_-_Chitones_Quitones
375,Detritus,Polyplacophora,Schwabe (2009),https://www.researchgate.net/publication/261699638_Polyplacophora_-_Chitones_Quitones
376,Phytoplankton,Polyplacophora,Schwabe (2009),https://www.researchgate.net/publication/261699638_Polyplacophora_-_Chitones_Quitones
377,Zooplankton,Polyplacophora,Schwabe (2009),https://www.researchgate.net/publication/261699638_Polyplacophora_-_Chitones_Quitones
378,Detritus,Porifera,Willenz et al. (2009),https://www.researchgate.net/profile/Philippe-Willenz/publication/257557891_Class_Calcarea/links/5497c3a50cf20f487d316b11/Class-Calcarea.pdf
379,Phytoplankton,Porifera,Willenz et al. (2009),https://www.researchgate.net/profile/Philippe-Willenz/publication/257557891_Class_Calcarea/links/5497c3a50cf20f487d316b11/Class-Calcarea.pdf
380,Amphipoda,Prolatilus jugularis,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
381,Pagurus sp.,Prolatilus jugularis,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
382,Polychaeta,Prolatilus jugularis,Bello (2008),http://opac.pucv.cl/pucv_txt/txt-0000/UCH0448_01.pdf
383,Brown algae,Psedechinus magellanicus,Penchaszadeh et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216
384,Foraminifera,Psedechinus magellanicus,Penchaszadeh et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216
385,Ostracoda,Psedechinus magellanicus,Penchaszadeh et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/00785326.2004.10410216
386,Genypterus blacodes,Pseudorca crassidens,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
387,Illex argentinus,Pseudorca crassidens,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
388,Macruronus magellanicus,Pseudorca crassidens,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
389,Martialia hyadesii,Pseudorca crassidens,Alonso & Pedraza (1999),https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1748-7692.1999.tb00838.x
390,Austrolycus depressiceps,Salilota australis,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
391,Benthic decapoda,Salilota australis,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
392,Merluccius sp.,Salilota australis,Jimena Torres pers. comm,
393,Patagonotothen cornucola,Salilota australis,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
394,Patagonotothen sp.,Salilota australis,Jimena Torres pers. comm,
395,Amphipoda,Salmo salar,Soto et al. (2001),https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/1051-0761%282001%29011%5B1750%3AESITIS%5D2.0.CO%3B2?casa_token=TDoh8tCi2eIAAAAA%3A7ZcavXsn4BEGEZEFHNSW3mE4QSVijx-U3ciIVTnnVuD-7e4TSDmKR_NhtXDRuQPUmuiiHLWIk80f9Bc
396,Merluccius sp.,Salmo salar,Soto et al. (2001),https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/1051-0761%282001%29011%5B1750%3AESITIS%5D2.0.CO%3B2?casa_token=TDoh8tCi2eIAAAAA%3A7ZcavXsn4BEGEZEFHNSW3mE4QSVijx-U3ciIVTnnVuD-7e4TSDmKR_NhtXDRuQPUmuiiHLWIk80f9Bc
397,Odontesthes sp.,Salmo salar,Antezana (pers. comm),
398,Copepoda,Salp,González et al. (2000),https://www.int-res.com/abstracts/meps/v195/p201-220/
399,Nanoflagellates,Salp,Vargas & Madis (2004),https://academic.oup.com/plankt/article/26/7/827/1514027?login=false
400,Phytoplankton,Salp,Cañete (pers. comm.),
401,Brown algae,Siphonaria lessonii,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/
402,Phytodetritus,Siphonaria lessonii,Andrade (pers. comm.),
