ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Reference,Reference_link
162,Eleginops maclovinus,"Teleostei
",Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
163,Enteroctopus megalocyathus,Cephalopoda,Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
164,Genypterus blacodes,Teleostei ,Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
165,Illex argentinus,Cephalopoda,Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
166,Macruronus magellanicus,Teleostei,Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
167,Myxine australis,Teleostei,Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
168,Patagonotothen tessellata,Teleostei,Lagenorhynchus australis,Mammalia,Viddi & Lescrauwaet (2005),https://www.vliz.be/imisdocs/publications/ocrd/102931.pdf
169,Salilota australis,Teleostei,Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
170,Salp,Thaliacea,Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
171,Zoarcidae,"Teleostei
",Lagenorhynchus australis,Mammalia,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf
172,Bivalvia,Bivalvia,Larus dominicanus,Aves,Gordillo et al. (2020),https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/abs/naticid-drilling-predation-from-tidal-flats-in-northern-patagonia-sw-atlantic/3EB5A0897064DF2E2381CE9844F5F348
173,Gastropoda,Gastropoda,Larus dominicanus,Aves,Hockey (1988),https://doi.org/10.1007/BF00379614
174,Mytilus sp.,Bivalvia,Larus dominicanus,Aves,Andrade (pers. comm.),
175,Bassanago sp.,Teleostei,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/67
176,Bivalvia,Bivalvia,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/64
177,Brown algae,Macroalgae,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/56
178,Bryozoa,Bryozoa,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/58
179,Cephalopoda,Cephalopoda,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/66
180,Detritus,"Non-living
",Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69
181,Foraminifera,Foraminifera,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/60
182,Gastropoda,Gastropoda,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/65
183,Hydrozoa,Hydrozoa,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/57
184,Lithodes santolla,Decapoda,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/63
185,Polychaeta,Polychaeta,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/61
186,Porifera,Porifera,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/59
187,Pseudechinus magellanicus,Echinoidea,Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/62
188,Red algae,Macroalgae,Lithodes santolla,Decapoda,Andrade et al. (2022),
189,Sediment,"Non-living
",Lithodes santolla,Decapoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/68
190,Amphipoda,Amphipoda,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556
191,Benthic decapoda,Decapoda,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556
192,Bivalvia,Bivalvia,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/557
193,Brown algae,Macroalgae,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/558
194,Foraminifera,Foraminifera,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
195,Green algae,Macroalgae,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
196,Hydrozoa,Hydrozoa,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/560
197,Nacella deaurata,Gastropoda,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
198,Polychaeta,Polychaeta,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
199,Polyplacophora,Polyplacophora,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
200,Porifera,Porifera,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
201,Pseudechinus magellanicus,Echinoidea,Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/561
202,Sediment,"Non-living
",Lithodes santolla (juvenile),Decapoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/559
203,Benthic decapoda,Decapoda,Lutra felina,Mammalia,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
204,Cottoperca gobio,Teleostei,Lutra felina,Mammalia,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
205,Harpagifer bispinis,Teleostei,Lutra felina,Mammalia,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
206,Patagonotothen sp.,Teleostei,Lutra felina,Mammalia,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
207,Prolatilus jugularis,Teleostei,Lutra felina,Mammalia,Córdova et al. (2009),https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext
208,Brown algae,Macroalgae,Loxechinus albus,Echinoidea,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf
209,Harpagifer bispinis,Teleostei,Loxechinus albus,Echinoidea,Andrade (pers. comm.),
210,Red algae,Macroalgae,Loxechinus albus,Echinoidea,Castilla (1985),https://www.academia.edu/download/31744106/Castilla_Moreno_1982.pdf
211,Sprattus fuegensis,Teleostei,Macruronus magellanicus,Teleostei,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html
212,Benthic decapoda,Decapoda,Macruronus magellanicus,Teleostei,Acevedo (2013),https://aquadocs.org/handle/1834/6952
213,Brown algae,Macroalgae,Margarella violacea,Gastropoda,C. Andrade (pers. comm.),
214,Euphausia vallentini,Euphausiacea,Martialia hyadesii,Cephalopoda,Hughes (2010),https://figshare.utas.edu.au/articles/thesis/Determining_the_unknown_in_Southern_Ocean_squid_distribution_and_diet_of_Histeoteuthis_eltaninae_and_Martialia_hyadesi/23230271/1
215,Bivalvia (larvae),Bivalvia,Maurolicus australis (larvae),Teleostei,Landaeta et al. (2011),https://academic.oup.com/plankt/article/33/12/1813/1542048?login=false
216,Calanoid (copepodite),Copepoda,Maurolicus australis (larvae),Teleostei,Landaeta et al. (2011),https://academic.oup.com/plankt/article/33/12/1813/1542048?login=false
217,Copepoda (egg),Copepoda,Maurolicus australis (larvae),Teleostei,Landaeta et al. (2011),https://academic.oup.com/plankt/article/33/12/1813/1542048?login=false
218,Copepoda (nauplius),Copepoda,Maurolicus australis (larvae),Teleostei,Landaeta et al. (2011),https://academic.oup.com/plankt/article/33/12/1813/1542048?login=false
219,Amphipoda,Amphipoda,Megaptera novaeangliae,Mammalia,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
220,Benthic decapoda,Decapoda,Megaptera novaeangliae,Mammalia,Haro et al. (2025),https://www.sciencedirect.com/science/article/abs/pii/S0304380024003326
221,Euphausia lucens,Euphausiacea,Megaptera novaeangliae,Mammalia,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
222,Euphausia vallentini,Euphausiacea,Megaptera novaeangliae,Mammalia,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376
223,Sprattus fuegensis,Teleostei,Megaptera novaeangliae,Mammalia,Haro et al. (2025),https://www.sciencedirect.com/science/article/abs/pii/S0304380024003326
224,Sprattus fuegensis,Teleostei,Merluccius australis,Teleostei,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html
225,Benthic decapoda,Decapoda,Merluccius sp.,Teleostei,Cubillos et al. (2003),https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
226,Bryozoa,Bryozoa,Merluccius sp.,Teleostei,Alonso et al. (2019),https://www.sciencedirect.com/science/article/abs/pii/S2352485518304250
227,Doryteuthis gahi,Cephalopoda,Merluccius sp.,Teleostei,Cubillos et al. (2003),https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
228,Macruronus magellanicus,Teleostei,Merluccius sp.,Teleostei,Cubillos et al. (2003),https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
229,Myctophidae,Teleostei,Merluccius sp.,Teleostei,Cubillos et al. (2003),https://www.researchgate.net/profile/Aldo-Hernandez-22/publication/283868315_Prey_composition_and_estimation_of_QB_for_the_Chilean_hake_Merluccius_gayi_Gadiformes_Merluccidae_in_the_central-south_area_off_Chile_34_-_40S/links/56fa6ded08ae95e8b6d4a2dc/Prey-composition-and-estimation-of-Q-B-for-the-Chilean-hake-Merluccius-gayi-Gadiformes-Merluccidae-in-the-central-south-area-off-Chile-34-40S.pdf
230,Pseudechinus magellanicus,Echinoidea,Merluccius sp.,Teleostei,Alonso et al. (2019),https://www.sciencedirect.com/science/article/abs/pii/S2352485518304250
231,Detritus,"Non-living
",Grimothea gregaria,Decapoda,Andrade (pers. comm.),
232,Green algae,Macroalgae,Grimothea gregaria,Decapoda,Andrade (pers. comm.),
233,Isopoda,Isopoda,Grimothea gregaria,Decapoda,Andrade (pers. comm.),
234,Phytodetritus,"Non-living
",Grimothea gregaria,Decapoda,Andrade (pers. comm.),
235,Porifera,Porifera,Grimothea gregaria,Decapoda,Andrade (pers. comm.),
236,Odontesthes sp.,Teleostei ,Mustelus mento,Chondrostei,Vargas et al. (1999),https://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77441999000300034
237,Pagurus sp.,Decapoda,Mustelus mento,Chondrostei,Silva-Garay et al. (2018),https://link.springer.com/article/10.1007/s10641-018-0797-0
238,Copepoda,Copepoda,Myctophidae,Teleostei,Hopkins & Gartner (1992),https://link.springer.com/article/10.1007/BF00349518
239,Phytoplankton,Phytoplankton,Mytilus sp.,Bivalvia,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes
240,Zooplankton,Zooplankton,Mytilus sp.,Bivalvia,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes
241,Detritus,"Non-living
",Myxine australis,Teleostei,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Myxine
242,Amphipoda,Amphipoda,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
243,Benthic diatom,Bacillariophyceae,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
244,Bivalvia,Bivalvia,Nacella deaurata,Gastropoda,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
245,Brown algae,Macroalgae,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
246,Chironomidae,Insecta,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
247,Cirripedia,Scalpellomorpha,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
248,Cyanobacteria,Cyanophyceae,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
249,Detritus,"Non-living
",Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
250,Foraminifera,Foraminifera,Nacella deaurata,Gastropoda,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
251,Gastropoda,Gastropoda,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
252,Green algae,Macroalgae,Nacella deaurata,Gastropoda,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
253,Margarella violacea,Gastropoda,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
254,Mytilus sp.,Bivalvia,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
255,Ostracoda,Ostracoda,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
256,Plankton diatom,Bacillariophyceae,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
257,Red algae,Macroalgae,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
258,Benthic diatom,Bacillariophyceae,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
259,Bivalvia,Bivalvia,Nacella magellanica,Gastropoda,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
260,Brown algae,Macroalgae,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
261,Chironomidae,Insecta,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
262,Cirripedia,Scalpellomorpha,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
263,Cyanobacteria,Cyanophyceae,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
264,Detritus,"Non-living
",Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
265,Foraminifera,Foraminifera,Nacella magellanica,Gastropoda,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
266,Gastropoda,Gastropoda,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
267,Green algae,Macroalgae,Nacella magellanica,Gastropoda,Andrade & Brey (2014),https://www.scielo.cl/scielo.php?pid=S0718-686X2014000200006&script=sci_abstract&tlng=en
268,Margarella violacea,Gastropoda,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
269,Mytilus sp.,Bivalvia,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
270,Notochthamalus scabrosus,Cirripedia,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
271,Ostracoda,Ostracoda,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
272,Phytoplankton,Phytoplankton,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
273,Plankton diatom,Bacillariophyceae,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
274,Red algae,Macroalgae,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/
275,Brown algae,Macroalgae,Nacella mytilina,Gastropoda,Andrade (pers. comm.),
276,Phytodetritus,"Non-living
",Nacella mytilina,Gastropoda,Andrade (pers. comm.),
277,Phytoplankton,Phytoplankton,Nacella mytilina,Gastropoda,Mutschke et al. (1998),https://www.researchgate.net/publication/234585529_Situacion_actual_de_la_macrofauna_presente_en_el_intermareal_de_bloques_y_cantos_de_Bahia_Laredo_Estrecho_de_Magallanes
278,Phytoplankton,Phytoplankton,Notochthamalus scabrosus,Cirripedia,Andrade (pers. comm.),
279,Amphipoda,Amphipoda,Odontesthes sp.,Teleostei ,Antezana (pers. comm),
280,Bivalvia,Bivalvia,Odontesthes sp.,Teleostei ,Gordillo et al. (2020),https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/abs/naticid-drilling-predation-from-tidal-flats-in-northern-patagonia-sw-atlantic/3EB5A0897064DF2E2381CE9844F5F348
281,Benthic decapoda,Decapoda,Oncorhynchus sp.,Teleostei,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6024
282,Phytodetritus,"Non-living
",Ophiactis asperula,Ophiuroidea,Rivera (pers. Comm),
283,Benthic decapoda,Decapoda,Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/973
284,Bivalvia,Bivalvia,Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/978
285,Brown algae,Macroalgae,Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/977
286,Bryozoa,Bryozoa,Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/979
287,Detritus,"Non-living
",Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/974
288,Phytodetritus,"Non-living
",Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/972
289,Sediment,"Non-living
",Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/930/976
290,Dissostichus eleginoides,"Teleostei
",Orcinus orca,Mammalia,Capella et al. (2014),https://link.springer.com/article/10.1007/s00300-014-1535-5
291,Otaria byronia,Mammalia,Orcinus orca,Mammalia,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1444
292,Tachyeres pteneres,Aves,Orcinus orca,Mammalia,Capella et al. (1999),http://bibliotecadigital.umag.cl/handle/20.500.11893/1445
293,Detritus,"Non-living
",Ostracoda,Ostracoda,Cañete (pers. comm.),
294,Phytoplankton,Phytoplankton,Ostracoda,Ostracoda,Cañete (pers. comm.),
295,Zooplankton,Zooplankton,Ostracoda,Ostracoda,Cañete (pers. comm.),
296,Benthic decapoda,Decapoda,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12379
297,Callorhinchus callorynchus,Chondrostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12393
298,Cilus gilberti,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12391
299,Eleginops maclovinus,"Teleostei
",Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12383
300,Genypterus blacodes,Teleostei ,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12392
301,Merluccius australis,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12390
302,Mustelus mento,Chondrostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12384
303,Odontesthes sp.,Teleostei ,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12387
304,Oncorhynchus sp.,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12381
305,Paralabrax humeralis,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12386
306,Pinguipes chilensis,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12394
307,Salmo salar,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12382
308,Sprattus fuegensis,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12388
309,Thyrsites atun,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12385
310,Trachurus murphyi,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2016),https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12389
311,Detritus,"Non-living
",Pagurus sp.,Decapoda,C. Andrade (pers. comm.),
312,Plankton diatom,Bacillariophyceae,Paracalanus indicus,Copepoda,Aguilera et al. (2011),https://www.tandfonline.com/doi/abs/10.1080/17451000.2010.499437
313,Detritus,"Non-living
",Paraeuthria fuscata,Gastropoda,Andrade C (2009),
314,Amphipoda,Amphipoda,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
315,Brown algae,Macroalgae,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
316,Bryozoa,Bryozoa,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
317,Detritus,"Non-living
",Paralomis granulosa,Decapoda,Andrade (pers. comm.),
318,Enteroctopus megalocyathus,Cephalopoda,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
319,Foraminifera,Foraminifera,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
320,Gastropoda,Gastropoda,Paralomis granulosa,Decapoda,Cañete et al. (2021),https://www.scielo.br/j/nau/a/DwGRczmMrxWjByhxjy8GHhD/
321,Hydrozoa,Hydrozoa,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
322,Mytilus sp.,Bivalvia,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
323,Polychaeta,Polychaeta,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
324,Porifera,Porifera,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
325,Pseudechinus magellanicus,Echinoidea,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
326,Red algae,Macroalgae,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
327,Benthic decapoda,Decapoda,Patagonotothen cornucola,Teleostei,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6022
328,Exosphaeroma gigas,Isopoda,Patagonotothen cornucola,Teleostei,Hüne & Vega (2016),
329,Amphipoda,Amphipoda,Patagonotothen sima,Teleostei,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
330,Benthic decapoda,Decapoda,Patagonotothen sima,Teleostei,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
331,Copepoda,Copepoda,Patagonotothen sima,Teleostei,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
332,Polychaeta,Polychaeta,Patagonotothen sima,Teleostei,Reyes & Hüne (2012),https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile
333,Benthic decapoda,Decapoda,Patagonotothen sp.,Teleostei,Andrade (pers. comm.),
334,Brown algae,Macroalgae,Patagonotothen sp.,Teleostei,Andrade (pers. comm.),
335,Exosphaeroma gigas,Isopoda,Patagonotothen sp.,Teleostei,Andrade (pers. comm.),
336,Polychaeta,Polychaeta,Patagonotothen sp.,Teleostei,Andrade (pers. comm.),
337,Amphipoda,Amphipoda,Patagonotothen tessellata,Teleostei,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6020
338,Benthic decapoda,Decapoda,Patagonotothen tessellata,Teleostei,Hüne et al. (2018),https://polarresearch.net/index.php/polar/article/view/2632/6021
339,Chironomidae,Insecta,Patagonotothen tessellata,Teleostei,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-13
340,Green algae,Macroalgae,Patagonotothen tessellata,Teleostei,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-11
341,Ostracoda,Ostracoda,Patagonotothen tessellata,Teleostei,Hüne & Vega (2015),https://link.springer.com/article/10.1007/s00300-015-1726-10
342,Patagonotothen sp.,Teleostei,Patagonotothen tessellata,Teleostei,Hüne et al. (2023),https://link.springer.com/10.1007/s10641-023-01428-8
