ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Citation,Full_reference
254,Mytilus sp.,Bivalvia,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
255,Ostracoda,Ostracoda,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
256,Plankton diatom,Bacillariophyceae,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
257,Red algae,Macroalgae,Nacella deaurata,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
258,Benthic diatom,Bacillariophyceae,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
259,Bivalvia,Bivalvia,Nacella magellanica,Gastropoda,Andrade & Brey (2014),"Andrade, C., & Brey, T. (2014). Trophic ecology of limpets among rocky intertidal in Bahia Laredo, Strait of Magellan (Chile). Anales Del Instituto de La Patagonia, 42(2), 65-70. https://doi.org/10.4067/S0718-686X2014000200006"
260,Brown algae,Macroalgae,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
261,Chironomidae,Insecta,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
262,Cirripedia,Scalpellomorpha,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
263,Cyanobacteria,Cyanophyceae,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
264,Detritus,"Non-living
",Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
265,Foraminifera,Foraminifera,Nacella magellanica,Gastropoda,Andrade & Brey (2014),"Andrade, C., & Brey, T. (2014). Trophic ecology of limpets among rocky intertidal in Bahia Laredo, Strait of Magellan (Chile). Anales Del Instituto de La Patagonia, 42(2), 65-70. https://doi.org/10.4067/S0718-686X2014000200006"
266,Gastropoda,Gastropoda,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
267,Green algae,Macroalgae,Nacella magellanica,Gastropoda,Andrade & Brey (2014),"Andrade, C., & Brey, T. (2014). Trophic ecology of limpets among rocky intertidal in Bahia Laredo, Strait of Magellan (Chile). Anales Del Instituto de La Patagonia, 42(2), 65-70. https://doi.org/10.4067/S0718-686X2014000200006"
268,Margarella violacea,Gastropoda,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
269,Mytilus sp.,Bivalvia,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
270,Notochthamalus scabrosus,Cirripedia,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
271,Ostracoda,Ostracoda,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
272,Phytoplankton,Phytoplankton,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
273,Plankton diatom,Bacillariophyceae,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
274,Red algae,Macroalgae,Nacella magellanica,Gastropoda,Rosenfeld et al. (2018),"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., Contador, T., Pizarro, G., & Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 738, 1-25. https://doi.org/10.3897/zookeys.738.21175"
275,Brown algae,Macroalgae,Nacella mytilina,Gastropoda,Andrade (pers. comm.),
276,Phytodetritus,"Non-living
",Nacella mytilina,Gastropoda,Andrade (pers. comm.),
277,Phytoplankton,Phytoplankton,Nacella mytilina,Gastropoda,Mutschke et al. (1998),"Mutschke, E., Ríos Cardoza, C., Montiel, A., & others. (1998). Situación actual de la macrofauna presente en el intermareal de bloques y cantos de Bahía Laredo, Estrecho de Magallanes. Anales del Instituto de la Patagonia, 26: 5-29."
278,Phytoplankton,Phytoplankton,Notochthamalus scabrosus,Cirripedia,Andrade (pers. comm.),
279,Amphipoda,Amphipoda,Odontesthes sp.,Teleostei ,Antezana (pers. comm),
280,Bivalvia,Bivalvia,Odontesthes sp.,Teleostei ,Gordillo et al. (2020),"Gordillo, S., Malvé, M. E., Morán, G. A., & Boretto, G. M. (2020). Naticid drilling predation from tidal flats in northern Patagonia, SW Atlantic. Journal of the Marine Biological Association of the United Kingdom, 100(6), 909-919. https://doi.org/10.1017/S0025315420000892"
281,Benthic decapoda,Decapoda,Oncorhynchus sp.,Teleostei,Hüne et al. (2018),"Hüne, M., Davis, E., Murcia, S., Gutiérrez, D., & Haro, D. (2018). Trophic relationships of a subtidal fish assemblage in the Francisco Coloane Coastal Marine Protected Area, southern Chilean Patagonia. Polar Research, 37(1), 1435107. https://doi.org/10.1080/17518369.2018.1435107"
282,Phytodetritus,"Non-living
",Ophiactis asperula,Ophiuroidea,Rivera (pers. Comm),
283,Benthic decapoda,Decapoda,Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),"Dahm, C. (1999). Ophiuroids (Echinodermata) of southern Chile and the Antarctic: Taxonomy, biomass, diet and growth of dominant species. Scientia Marina, 63(S1), 427-432. https://doi.org/10.3989/scimar.1999.63s1427"
284,Bivalvia,Bivalvia,Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),"Dahm, C. (1999). Ophiuroids (Echinodermata) of southern Chile and the Antarctic: Taxonomy, biomass, diet and growth of dominant species. Scientia Marina, 63(S1), 427-432. https://doi.org/10.3989/scimar.1999.63s1427"
285,Brown algae,Macroalgae,Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),"Dahm, C. (1999). Ophiuroids (Echinodermata) of southern Chile and the Antarctic: Taxonomy, biomass, diet and growth of dominant species. Scientia Marina, 63(S1), 427-432. https://doi.org/10.3989/scimar.1999.63s1427"
286,Bryozoa,Bryozoa,Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),"Dahm, C. (1999). Ophiuroids (Echinodermata) of southern Chile and the Antarctic: Taxonomy, biomass, diet and growth of dominant species. Scientia Marina, 63(S1), 427-432. https://doi.org/10.3989/scimar.1999.63s1427"
287,Detritus,"Non-living
",Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),"Dahm, C. (1999). Ophiuroids (Echinodermata) of southern Chile and the Antarctic: Taxonomy, biomass, diet and growth of dominant species. Scientia Marina, 63(S1), 427-432. https://doi.org/10.3989/scimar.1999.63s1427"
288,Phytodetritus,"Non-living
",Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),"Dahm, C. (1999). Ophiuroids (Echinodermata) of southern Chile and the Antarctic: Taxonomy, biomass, diet and growth of dominant species. Scientia Marina, 63(S1), 427-432. https://doi.org/10.3989/scimar.1999.63s1427"
289,Sediment,"Non-living
",Ophiuroglypha lymani,Ophiuroidea,Dahm (1999),"Dahm, C. (1999). Ophiuroids (Echinodermata) of southern Chile and the Antarctic: Taxonomy, biomass, diet and growth of dominant species. Scientia Marina, 63(S1), 427-432. https://doi.org/10.3989/scimar.1999.63s1427"
290,Dissostichus eleginoides,"Teleostei
",Orcinus orca,Mammalia,Capella et al. (2014),"Capella, J. J., Abramson, J. Z., Vilina, Y. A., & Gibbons, J. (2014). Observations of killer whales (Orcinus orca) in the fjords of Chilean Patagonia. Polar Biology, 37(10), 1533-1539. https://doi.org/10.1007/s00300-014-1535-5"
291,Otaria byronia,Mammalia,Orcinus orca,Mammalia,Capella et al. (1999),"Capella J, J Gibbons & Y Vilina. (1999). The killer whale, Orcinus orca (DELPHINlDAE) in Chilean waters between Arica and Cabo de Hornos. Anales del Instituto de la Patagonia 27: 63-72."
292,Tachyeres pteneres,Aves,Orcinus orca,Mammalia,Capella et al. (1999),"Capella J, J Gibbons & Y Vilina. (1999). The killer whale, Orcinus orca (DELPHINlDAE) in Chilean waters between Arica and Cabo de Hornos. Anales del Instituto de la Patagonia 27: 63-72."
293,Detritus,"Non-living
",Ostracoda,Ostracoda,Cañete (pers. comm.),
294,Phytoplankton,Phytoplankton,Ostracoda,Ostracoda,Cañete (pers. comm.),
295,Zooplankton,Zooplankton,Ostracoda,Ostracoda,Cañete (pers. comm.),
296,Benthic decapoda,Decapoda,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
297,Callorhinchus callorynchus,Chondrostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
298,Cilus gilberti,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
299,Eleginops maclovinus,"Teleostei
",Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
300,Genypterus blacodes,Teleostei ,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
301,Merluccius australis,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
302,Mustelus mento,Chondrostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
303,Odontesthes sp.,Teleostei ,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
304,Oncorhynchus sp.,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
305,Paralabrax humeralis,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
306,Pinguipes chilensis,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
307,Salmo salar,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
308,Sprattus fuegensis,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
309,Thyrsites atun,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
310,Trachurus murphyi,Teleostei,Otaria byronia,Mammalia,Sepúlveda et al. (2017),"Sepúlveda, M., Pavez, G., Santos‐Carvallo, M., Balbontín, C., Pequeño, G., & Newsome, S. D. (2017). Spatial, temporal, age, and sex related variation in the diet of South American sea lions in southern Chile. Marine Mammal Science, 33(2), 480-495. https://doi.org/10.1111/mms.12379"
311,Detritus,"Non-living
",Pagurus sp.,Decapoda,Andrade (pers. comm.),
312,Plankton diatom,Bacillariophyceae,Paracalanus indicus,Copepoda,Aguilera et al. (2011),"Aguilera, V. M., Donoso, K., & Escribano, R. (2011). Reproductive performance of small-sized dominant copepods with a highly variable food resource in the coastal upwelling system off the Chilean Humboldt Current. Marine Biology Research, 7(3), 235-249. https://doi.org/10.1080/17451000.2010.499437"
313,Detritus,"Non-living
",Paraeuthria fuscata,Gastropoda,Andrade (pers. comm.),
314,Amphipoda,Amphipoda,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
315,Brown algae,Macroalgae,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
316,Bryozoa,Bryozoa,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
317,Detritus,"Non-living
",Paralomis granulosa,Decapoda,Andrade (pers. comm.),
318,Enteroctopus megalocyathus,Cephalopoda,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
319,Foraminifera,Foraminifera,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
320,Gastropoda,Gastropoda,Paralomis granulosa,Decapoda,Cañete et al. (2021),"Cañete, I., Friedlander, A. M., Sala, E., & Figueroa, T. (2021). Podding of Paralomis granulosa (Lithodidae) juveniles inhabiting kelp forests of the Cape Horn Archipelago (Chile). Nauplius, 29, e2021031. https://doi.org/10.1590/2358-2936e2021031"
321,Hydrozoa,Hydrozoa,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
322,Mytilus sp.,Bivalvia,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
323,Polychaeta,Polychaeta,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
324,Porifera,Porifera,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
325,Pseudechinus magellanicus,Echinoidea,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
326,Red algae,Macroalgae,Paralomis granulosa,Decapoda,Andrade (pers. comm.),
327,Benthic decapoda,Decapoda,Patagonotothen cornucola,Teleostei,Hüne et al. (2018),"Hüne, M., Davis, E., Murcia, S., Gutiérrez, D., & Haro, D. (2018). Trophic relationships of a subtidal fish assemblage in the Francisco Coloane Coastal Marine Protected Area, southern Chilean Patagonia. Polar Research, 37(1), 1435107. https://doi.org/10.1080/17518369.2018.1435107"
328,Exosphaeroma gigas,Isopoda,Patagonotothen cornucola,Teleostei,Hüne & Vega (2016),"Hüne, M., & Vega, R. (2016). Feeding habits in two sympatric species of Notothenioidei, Patagonotothen cornucola and Harpagifer bispinis, in the Chilean Patagonian channels and fjords. Polar Biology, 39(12), 2253-2262. https://doi.org/10.1007/s00300-016-1892-3"
329,Amphipoda,Amphipoda,Patagonotothen sima,Teleostei,Reyes & Hüne (2012),"Reyes, P. L., & Hüne, M. B. (2012). Peces del Sur de Chile. Santiago de Chile: Editorial Ocho Libros."
330,Benthic decapoda,Decapoda,Patagonotothen sima,Teleostei,Reyes & Hüne (2012),"Reyes, P. L., & Hüne, M. B. (2012). Peces del Sur de Chile. Santiago de Chile: Editorial Ocho Libros."
331,Copepoda,Copepoda,Patagonotothen sima,Teleostei,Reyes & Hüne (2012),"Reyes, P. L., & Hüne, M. B. (2012). Peces del Sur de Chile. Santiago de Chile: Editorial Ocho Libros."
332,Polychaeta,Polychaeta,Patagonotothen sima,Teleostei,Reyes & Hüne (2012),"Reyes, P. L., & Hüne, M. B. (2012). Peces del Sur de Chile. Santiago de Chile: Editorial Ocho Libros."
333,Benthic decapoda,Decapoda,Patagonotothen sp.,Teleostei,Andrade (pers. comm.),
334,Brown algae,Macroalgae,Patagonotothen sp.,Teleostei,Andrade (pers. comm.),
335,Exosphaeroma gigas,Isopoda,Patagonotothen sp.,Teleostei,Andrade (pers. comm.),
336,Polychaeta,Polychaeta,Patagonotothen sp.,Teleostei,Andrade (pers. comm.),
337,Amphipoda,Amphipoda,Patagonotothen tessellata,Teleostei,Hüne et al. (2018),"Hüne, M., Davis, E., Murcia, S., Gutiérrez, D., & Haro, D. (2018). Trophic relationships of a subtidal fish assemblage in the Francisco Coloane Coastal Marine Protected Area, southern Chilean Patagonia. Polar Research, 37(1), 1435107. https://doi.org/10.1080/17518369.2018.1435107"
338,Benthic decapoda,Decapoda,Patagonotothen tessellata,Teleostei,Hüne et al. (2018),"Hüne, M., Davis, E., Murcia, S., Gutiérrez, D., & Haro, D. (2018). Trophic relationships of a subtidal fish assemblage in the Francisco Coloane Coastal Marine Protected Area, southern Chilean Patagonia. Polar Research, 37(1), 1435107. https://doi.org/10.1080/17518369.2018.1435107"
339,Chironomidae,Insecta,Patagonotothen tessellata,Teleostei,Hüne & Vega (2015),"Hüne, M., & Vega, R. (2015). Spatial variation in the diet of Patagonotothen tessellata (Pisces, Nototheniidae) from the fjords and channels of southern Chilean Patagonia. Polar Biology, 38(10), 1613-1622. https://doi.org/10.1007/s00300-015-1726-8"
340,Green algae,Macroalgae,Patagonotothen tessellata,Teleostei,Hüne & Vega (2015),"Hüne, M., & Vega, R. (2015). Spatial variation in the diet of Patagonotothen tessellata (Pisces, Nototheniidae) from the fjords and channels of southern Chilean Patagonia. Polar Biology, 38(10), 1613-1622. https://doi.org/10.1007/s00300-015-1726-8"
341,Ostracoda,Ostracoda,Patagonotothen tessellata,Teleostei,Hüne & Vega (2015),"Hüne, M., & Vega, R. (2015). Spatial variation in the diet of Patagonotothen tessellata (Pisces, Nototheniidae) from the fjords and channels of southern Chilean Patagonia. Polar Biology, 38(10), 1613-1622. https://doi.org/10.1007/s00300-015-1726-8"
342,Patagonotothen sp.,Teleostei,Patagonotothen tessellata,Teleostei,Hüne et al. (2023),"Hüne, M., Quintullanca, A., Aldea, C., & Landaeta, M. F. (2023). Diet variations and morphological changes of the rockcod Patagonotothen tessellata (Teleostei: Nototheniidae) in Chilean Central Patagonia. Environmental Biology of Fishes, 106(6), 1425-1442. https://doi.org/10.1007/s10641-023-01428-8"
343,Polychaeta,Polychaeta,Patagonotothen tessellata,Teleostei,Hüne & Vega (2015),"Hüne, M., & Vega, R. (2015). Spatial variation in the diet of Patagonotothen tessellata (Pisces, Nototheniidae) from the fjords and channels of southern Chilean Patagonia. Polar Biology, 38(10), 1613-1622. https://doi.org/10.1007/s00300-015-1726-8"
344,Red algae,Macroalgae,Patagonotothen tessellata,Teleostei,Hüne & Vega (2015),"Hüne, M., & Vega, R. (2015). Spatial variation in the diet of Patagonotothen tessellata (Pisces, Nototheniidae) from the fjords and channels of southern Chilean Patagonia. Polar Biology, 38(10), 1613-1622. https://doi.org/10.1007/s00300-015-1726-8"
345,Bivalvia (larvae),Bivalvia,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),"Salas-Berrios, F., Valdés-Aguilera, J., Landaeta, M. F., Bustos, C. A., Pérez-Vargas, A., & Balbontín, F. (2013). Feeding habits and diet overlap of marine fish larvae from the peri-Antarctic Magellan region. Polar Biology, 36(10), 1401-1414. https://doi.org/10.1007/s00300-013-1359-8"
346,Calanoid (copepodite),Copepoda,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),"Salas-Berrios, F., Valdés-Aguilera, J., Landaeta, M. F., Bustos, C. A., Pérez-Vargas, A., & Balbontín, F. (2013). Feeding habits and diet overlap of marine fish larvae from the peri-Antarctic Magellan region. Polar Biology, 36(10), 1401-1414. https://doi.org/10.1007/s00300-013-1359-8"
347,Copepoda,Copepoda,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),"Salas-Berrios, F., Valdés-Aguilera, J., Landaeta, M. F., Bustos, C. A., Pérez-Vargas, A., & Balbontín, F. (2013). Feeding habits and diet overlap of marine fish larvae from the peri-Antarctic Magellan region. Polar Biology, 36(10), 1401-1414. https://doi.org/10.1007/s00300-013-1359-8"
348,Copepoda (egg),Copepoda,Patagonotothen tessellata (larvae),Teleostei,Salas-Berrios et al. (2013),"Salas-Berrios, F., Valdés-Aguilera, J., Landaeta, M. F., Bustos, C. A., Pérez-Vargas, A., & Balbontín, F. (2013). Feeding habits and diet overlap of marine fish larvae from the peri-Antarctic Magellan region. Polar Biology, 36(10), 1401-1414. https://doi.org/10.1007/s00300-013-1359-8"
